Date,TargetCountry,TargetCountryCode,ReceivingCountry,ReceivingCountryCode,Action,NumArticles,AvgTone,AvgGoldsteinScale,Action Name
20160225,1,2,26,2,10,3,0.18018018,0,"Make statement, not specified below"
20160225,1,2,41,2,70,4,6.666666667,7,"Provide aid, not specified below"
20160225,1,2,13,2,111,4,0.449810606,-2,Criticize or denounce
20160226,1,2,23,2,30,1,0.436457008,4,"Express intent to cooperate, not specified below"
20160226,1,2,12,2,40,6,2.586206913,1,"Consult, not specified below"
20160226,1,2,23,2,51,1,0.436457008,3.400000095,Praise or endorse
20160226,1,2,5,2,57,10,1.923076868,8,Sign formal agreement
20160226,1,2,23,2,71,4,2.3738873,7.400000095,Provide economic aid
20160228,1,2,6,2,46,6,1.986755013,7,Engage in negotiation
20160229,1,2,6,2,46,6,2.129719257,7,Engage in negotiation
20160301,1,2,2,2,10,3,1.07066381,0,"Make statement, not specified below"
20160301,1,2,40,2,20,5,-3.625377655,3,"Make an appeal or request, not specified below"
20160301,1,2,23,2,43,8,-0.395061728,2.8,Host a visit
20160301,1,2,27,2,57,6,3.108808279,8,Sign formal agreement
20160301,1,2,23,2,84,10,0.578034699,7,"Return, release, not specified below"
20160301,1,2,5,2,173,10,0,-5,"Arrest, detain, or charge with legal action"
20160302,1,2,8,2,33,2,0,5.2,"Express intent to provide material aid, not specified below"
20160302,1,2,13,2,186,6,1.686340641,-10,Assassinate
20160302,1,2,25,2,20,6,-2.717391304,3,"Make an appeal or request, not specified below"
20160302,1,2,20,2,31,2,3.645007924,5.2,"Express intent to engage in material cooperation, not specified below"
20160302,1,2,11,2,42,1,-0.075301205,1.9,Make a visit
20160302,1,2,23,2,61,6,-0.302114804,6.4,Cooperate economically
20160302,1,2,5,2,71,3,-1.075268817,7.4,Provide economic aid
20160302,1,2,10,2,71,3,-2.030456853,7.4,Provide economic aid
20160302,1,2,23,2,84,10,0,7,"Return, release, not specified below"
20160303,1,2,5,2,45,5,4.810996564,5,Mediate
20160303,1,2,32,2,25,1,3.973509934,-0.3,"Appeal to yield, not specified below"
20160303,1,2,23,2,30,6,-1.787592008,4,"Express intent to cooperate, not specified below"
20160303,1,2,40,2,40,3,-3.62369338,1,"Consult, not specified below"
20160303,1,2,37,2,61,20,6.189578283,6.4,Cooperate economically
20160303,1,2,12,2,311,3,-0.215982721,5.2,Express intent to cooperate economically
20160303,1,2,24,2,311,6,-1.071428571,5.2,Express intent to cooperate economically
20160304,1,2,23,2,30,36,-2.372881356,4,"Express intent to cooperate, not specified below"
20160304,1,2,14,2,51,10,2.218430034,3.4,Praise or endorse
20160304,1,2,14,2,60,6,-0.333889816,6,"Engage in material cooperation, not specified below"
20160304,1,2,37,2,61,10,6.201550388,6.4,Cooperate economically
20160304,1,2,7,2,80,5,0,5,"Yield, not specified below"
20160304,1,2,23,2,173,6,-3.599374022,-5,"Arrest, detain, or charge with legal action"
20160305,1,2,36,2,46,10,-2.433090024,7,Engage in negotiation
20160306,1,2,23,2,10,6,-2.279411765,0,"Make statement, not specified below"
