Date,TargetCountry,TargetCountryCode,ReceivingCountry,ReceivingCountryCode,Action,NumArticles,AvgTone,AvgGoldsteinScale
20150730,1,2,27,1,040,20,1.94174757281553,1.0
20150731,1,2,23,1,051,6,5.45518207282913,3.4
20150731,1,2,40,1,036,5,1.78571428571429,4.0
20150801,1,2,36,1,057,2,-0.549450549450551,8.0
20150801,1,2,40,1,036,5,1.78571428571429,4.0
20150803,1,2,2,1,111,8,-3.03383897316219,-2.0
20150803,1,2,19,1,042,3,3.06748466257669,1.9
20150804,1,2,2,1,051,6,2.22602739726028,3.4
20150805,1,2,27,1,090,2,0.61601642710472,-2.0
20150806,1,2,8,1,129,2,-1.26291618828932,-5.0
20150806,1,2,26,1,051,8,-4.40251572327044,3.4
20150806,1,2,40,1,051,10,3.7828947368421,3.4
20150807,1,2,9,1,111,10,-1.85185185185186,-2.0
20150807,1,2,14,1,046,6,-2.74093722369585,7.0
20150807,1,2,19,1,046,5,1.06100795755968,7.0
20150807,1,2,27,1,010,10,-3.52504638218923,0.0
20150808,1,2,40,1,057,4,2.63157894736842,8.0
20150811,1,2,11,1,010,5,-0.82474226804124,0.0
20150811,1,2,12,1,020,10,-2.90178571428572,3.0
20150811,1,2,19,1,071,20,1.7813823444759651,7.4
20150811,1,2,42,1,010,10,0.0,0.0
20150812,1,2,5,1,046,25,1.5494779858989249,7.0
20150812,1,2,11,1,010,2,-1.28865979381443,0.0
20150812,1,2,19,1,071,8,3.15789473684211,7.4
20150812,1,2,27,1,020,6,-0.62189054726368,3.0
20150813,1,2,5,1,046,5,0.90215128383067,7.0
20150814,1,2,25,1,051,1,4.08921933085502,3.4
20150814,1,2,26,1,060,6,-2.90697674418605,6.0
20150814,1,2,27,1,020,3,-4.88826815642458,3.0
20150815,1,2,27,1,020,3,-4.88826815642458,3.0
20150816,1,2,27,1,020,3,-4.88826815642458,3.0
20150818,1,2,24,1,042,2,-1.74216027874564,1.9
20150818,1,2,25,1,1383,10,-4.34782608695652,-7.0
20150818,1,2,26,1,060,6,-2.9145728643216,6.0
20150818,1,2,27,1,110,6,1.36138613861386,-2.0
20150818,1,2,27,1,173,10,1.01522842639594,-5.0
20150818,1,2,45,1,051,8,0.99502487562189,3.4
20150819,1,2,14,1,051,6,1.64609053497942,3.4
20150819,1,2,16,1,128,10,0.94339622641509,-5.0
20150820,1,2,23,1,040,6,0.64724919093852,1.0
20150820,1,2,41,1,050,4,-2.86871023713129,3.5
20150821,1,2,25,1,040,4,2.10696920583469,1.0
20150822,1,2,23,1,190,6,0.61443932411674,-10.0
20150825,1,2,24,1,0833,10,0.9009009009009,5.0
20150825,1,2,40,1,050,1,1.54711673699015,3.5
20150826,1,2,13,1,043,2,-3.22817314746882,2.8
20150826,1,2,40,1,020,6,1.97916666666667,3.0
20150827,1,2,19,1,051,5,3.52564102564103,3.4
20150828,1,2,2,1,010,15,0.56179775280899,0.0
20150828,1,2,40,1,020,6,2.02224469160769,3.0
20150829,1,2,16,1,060,10,-3.87453874538746,6.0
20150831,1,2,16,1,013,5,-1.2,0.4
20150831,1,2,32,1,051,10,-1.1764705882353,3.4
